id,title,long_id,short_id,pub_year,citation_message
1,Few-shot link prediction in dynamic networks,OlLjVUcAAAAJ:J_g5lzvAfSwC,J_g5lzvAfSwC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:J_g5lzvAfSwC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FJ_g5lzvAfSwC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
2,"A survey on heterogeneous information network based recommender systems: Concepts, methods, applications and resources",OlLjVUcAAAAJ:lSLTfruPkqcC,lSLTfruPkqcC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:lSLTfruPkqcC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FlSLTfruPkqcC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
3,Openhgnn: an open source toolkit for heterogeneous graph neural network,OlLjVUcAAAAJ:M05iB0D1s5AC,M05iB0D1s5AC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:M05iB0D1s5AC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FM05iB0D1s5AC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
4,"Space4hgnn: a novel, modularized and reproducible platform to evaluate heterogeneous graph neural network",OlLjVUcAAAAJ:RYcK_YlVTxYC,RYcK_YlVTxYC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:RYcK_YlVTxYC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FRYcK_YlVTxYC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
5,Co-clustering interactions via attentive hypergraph neural network,OlLjVUcAAAAJ:vV6vV6tmYwMC,vV6vV6tmYwMC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:vV6vV6tmYwMC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FvV6vV6tmYwMC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
6,Midtd: A simple and effective distillation framework for distantly supervised relation extraction,OlLjVUcAAAAJ:ns9cj8rnVeAC,ns9cj8rnVeAC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:ns9cj8rnVeAC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2Fns9cj8rnVeAC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
7,xtrimoabfold: De novo antibody structure prediction without msa,OlLjVUcAAAAJ:N5tVd3kTz84C,N5tVd3kTz84C,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:N5tVd3kTz84C'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FN5tVd3kTz84C.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
8,"Network embedding: Theories, methods, and applications",OlLjVUcAAAAJ:_Qo2XoVZTnwC,_Qo2XoVZTnwC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:_Qo2XoVZTnwC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2F_Qo2XoVZTnwC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
9,Payment behavior prediction on shared parking lots with TR-GCN,OlLjVUcAAAAJ:2P1L_qKh6hAC,2P1L_qKh6hAC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:2P1L_qKh6hAC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2F2P1L_qKh6hAC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
10,A dual-expert framework for event argument extraction,OlLjVUcAAAAJ:ldfaerwXgEUC,ldfaerwXgEUC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:ldfaerwXgEUC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FldfaerwXgEUC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
11,Gated Hypergraph Neural Network for Scene-Aware Recommendation,OlLjVUcAAAAJ:70eg2SAEIzsC,70eg2SAEIzsC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:70eg2SAEIzsC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2F70eg2SAEIzsC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
12,Hypergraph Clustering Network for Interaction Data.,OlLjVUcAAAAJ:rO6llkc54NcC,rO6llkc54NcC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:rO6llkc54NcC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FrO6llkc54NcC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
13,Network Embedding for Large-Scale Graphs,OlLjVUcAAAAJ:UxriW0iASnsC,UxriW0iASnsC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:UxriW0iASnsC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FUxriW0iASnsC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
14,The Basics of Network Embedding,OlLjVUcAAAAJ:CHSYGLWDkRkC,CHSYGLWDkRkC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:CHSYGLWDkRkC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FCHSYGLWDkRkC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
15,Network embedding for community-structured graphs,OlLjVUcAAAAJ:EUQCXRtRnyEC,EUQCXRtRnyEC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:EUQCXRtRnyEC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2FEUQCXRtRnyEC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
16,Future Direction and Conclusion,OlLjVUcAAAAJ:u9iWguZQMMsC,u9iWguZQMMsC,2022,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:u9iWguZQMMsC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2022/selected_pubs%2Fu9iWguZQMMsC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
